# REGULATORY KYC AUDIT EXPORT
# FORMAT: PSV (PIPE DELIMITED)
# SOURCE: COMPLIANCE_MAIN_DB
verification_id|customer_id|document_type|id_number_masked|verification_vendor|confidence_score|facial_match_pct|screening_flags|verified_timestamp
KYC-10000|C93810|RESIDENCE_PERMIT|RESI-****-342|Veriff|0.39|80.1|ADDRESS_MISMATCH_WARN|2022-12-09 00:00:00
KYC-10001|C24592|PASSPORT|PASS-****-868|Trulioo|0.54|98.3|EXPIRED_DOC|2023-06-22 00:00:00
KYC-10002|C13278|RESIDENCE_PERMIT|RESI-****-949|Veriff|0.84|93.1|CLEAR|2021-10-14 00:00:00
KYC-10003|C46048|NATIONAL_ID|NATI-****-198|Trulioo|0.4|75.7|CLEAR|2023-02-02 00:00:00
KYC-10004|C42098|DRIVERS_LICENSE|DRIV-****-675|Onfido|0.48|95.0|CLEAR|2021-12-01 00:00:00
KYC-10005|C39256|DRIVERS_LICENSE|DRIV-****-249|Onfido|0.66|59.0|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-08-27 00:00:00
KYC-10006|C28289|DRIVERS_LICENSE|DRIV-****-285|Jumio|0.9|65.4|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-03-14 00:00:00
KYC-10007|C23434|NATIONAL_ID|NATI-****-143|Veriff|0.83|82.2|CLEAR|2023-08-15 00:00:00
KYC-10008|C98696|NATIONAL_ID|NATI-****-620|Jumio|0.39|33.8|EXPIRED_DOC|2023-03-30 00:00:00
KYC-10009|C81482|NATIONAL_ID|NATI-****-450|Trulioo|0.5|41.5|CLEAR|2024-07-03 00:00:00
KYC-10010|C21395|NATIONAL_ID|NATI-****-514|Onfido|0.45|31.7|CLEAR|2023-07-04 00:00:00
KYC-10011|C87397|DRIVERS_LICENSE|DRIV-****-160|Veriff|0.73|62.3|ADDRESS_MISMATCH_WARN|2024-04-03 00:00:00
KYC-10012|C65302|RESIDENCE_PERMIT|RESI-****-109|IDnow|0.62|62.5|CLEAR|2024-12-07 00:00:00
KYC-10013|C14165|DRIVERS_LICENSE|DRIV-****-449|Trulioo|0.75|88.5|CLEAR|2022-11-21 00:00:00
KYC-10014|C13905|PASSPORT|PASS-****-531|Veriff|0.68|30.4|CLEAR|2023-08-11 00:00:00
KYC-10015|C22280|RESIDENCE_PERMIT|RESI-****-110|IDnow|0.77|75.0|TAMPERED_DOC_SUSPECTED|2022-03-09 00:00:00
KYC-10016|C38657|PASSPORT|PASS-****-205|Jumio|0.5|45.9|TAMPERED_DOC_SUSPECTED|2024-05-13 00:00:00
KYC-10017|C40495|PASSPORT|PASS-****-584|Jumio|0.68|59.4|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-10-29 00:00:00
KYC-10018|C76237|DRIVERS_LICENSE|DRIV-****-105|IDnow|0.45|67.3|CLEAR|2024-03-19 00:00:00
KYC-10019|C88907|DRIVERS_LICENSE|DRIV-****-202|IDnow|0.92|97.5|PEP_HIT;SANCTION_CLEAR|2022-10-09 00:00:00
KYC-10020|C13478|DRIVERS_LICENSE|DRIV-****-435|IDnow|0.46|46.3|EXPIRED_DOC|2022-03-03 00:00:00
KYC-10021|C83563|NATIONAL_ID|NATI-****-659|Veriff|0.5|93.5|ADDRESS_MISMATCH_WARN|2023-04-10 00:00:00
KYC-10022|C36062|NATIONAL_ID|NATI-****-989|Trulioo|0.97|45.1|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-05-11 00:00:00
KYC-10023|C95181|PASSPORT|PASS-****-332|Veriff|0.59|83.4|PEP_HIT;SANCTION_CLEAR|2022-07-05 00:00:00
